<prompt>
Please write a funny Nepali children's story that is at least 1000 words long.
It must be completely written in proper Nepali (NE).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
The title of the story is: 'पक्षीहरूको गीतमा लुकेको रहस्य'.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo</model>

<lang_id>ne</lang_id>

<title>पक्षीहरूको गीतमा लुकेको रहस्य</title>
<body>
नेपालको एक सुन्दर गाउँमा एक छोटो लड्को थियो जसको नाम किशोर थियो। किशोरले पक्षीहरूको गीत सुन्न र उनीहरूलाई देखने मा रुचि राख्थ्यो। उनले आफ्नो खाली समयमा बागैंचामा जाने गर्थ्यो र पक्षीहरूको गीत सुन्थ्यो।

एक दिन किशोर बागैंचामा गयो र एक सुन्दर पाखा देख्यो। त्यो पाखाले एक सुन्दर गीत गाएको थियो। किशोरले त्यो गीत सुने र त्यसलाई मन पराए। उनले सोचे, "यस पाखाले के गाएको छ?" उनले त्यो पाखालाई नजिकबाट हेरे।

त्यो पाखाले किशोरलाई देखेर भने, "किशोर, म तंगने गीत गाएको छु। मेरो गीतमा एक रहस्य लुकेको छ।" किशोरले सोचे, "के रहस्य?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "मेरो गीतमा एक शब्द छ जुन शब्दले तिम्रो जीवन परिवर्तन गर्न सक्छ।" किशोरले सोचे, "कुन शब्द?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "मलाई प्रष्ट प्रश्न गर्नुस।" किशोरले सोचे, "मलाई कस्तो प्रश्न गर्ने?" उनले त्यो पाखालाई प्रश्न गरे, "तपाईंको गीतमा कुन शब्द छ जुन शब्दले मेरो जीवन परिवर्तन गर्न सक्छ?"

त्यो पाखाले भने, "मेरो गीतमा 'सपना' शब्द छ।" किशोरले सोचे, "सपना? के सपनाले मेरो जीवन परिवर्तन गर्न सक्छ?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपना तिम्रो जीवनको दिशा निर्धारण गर्न सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ दिशा देखाउन सक्छ।" किशोरले सोचे, "कस्तो दिशा?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ अवसर देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ चुनौती देखाउन सक्छ।" किशोरले सोचे, "कस्तो चुनौती?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ जोखिम देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ सफलता देखाउन सक्छ।" किशोरले सोचे, "कस्तो सफलता?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ पहचान देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ गर्व देखाउन सक्छ।" किशोरले सोचे, "कस्तो गर्व?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ आत्मविश्वास देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ शक्ति देखाउन सक्छ।" किशोरले सोचे, "कस्तो शक्ति?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ साहस देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ जिज्ञासा देखाउन सक्छ।" किशोरले सोचे, "कस्तो जिज्ञासा?" उनले त्यो पाखालाई प्रश्न गरे।

