<prompt>
Please write a funny Kongo children's story that is at least 1000 words long.
It must be completely written in proper Kongo (KG).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
The title of the story is: 'Nganda Ya Mwana Na Nkisi Ya Nsumbu'.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo-Free</model>

<lang_id>kg</lang_id>

<title>Nganda Ya Mwana Na Nkisi Ya Nsumbu</title>
<body>
Mwana abalele mokanda, akiwaka nganda na ye. Nganda ya mwana yakiweni kuna nsumbu, nsumbu akiwelela makanda matatu. Mwana asili kala, "Nkisi ya nsumbu, oyo wapi?" Nkisi ya nsumbu akeli, "Nganda ya mwana, oyo wana makanda matatu!"

Mwana akalamba, "Makanda matatu, oyo mabaya!" Nkisi ya nsumbu akeli, "Tala, mwana, makanda matatu mayo mabaya, mayo makasi." Mwana asili kala, "Kasi, nkisi ya nsumbu, wapi?" Nkisi ya nsumbu akeli, "Kuna nsumbu, mwana, kuna nsumbu!"

Mwana akalamba, "Nsumbu, oyo mwana!" Nkisi ya nsumbu akeli, "Tala, mwana, nsumbu mayo mwana, mayo nkisi!" Mwana asili kala, "Nkisi, oyo nkisi!" Nkisi ya nsumbu akeli, "Nkisi, mwana, nkisi ya nsumbu!"

Mwana akalamba, "Nkisi ya nsumbu, oyo wana makanda matatu!" Nkisi ya nsumbu akeli, "Ee, mwana, nkisi ya nsumbu wana makanda matatu, makanda matatu mayo mabaya, mayo makasi!" Mwana asili kala, "Makanda matatu, oyo mabaya!" Nkisi ya nsumbu akeli, "Tala, mwana, makanda matatu mayo mabaya, mayo makasi, mayo mabaya!"

Mwana akalamba, "Kasi, nkisi ya nsumbu, wapi?" Nkisi ya nsumbu akeli, "Kuna nsumbu, mwana, kuna nsumbu, kuna makanda matatu!" Mwana asili kala, "Makanda matatu, oyo mabaya!" Nkisi ya nsumbu akeli, "Tala, mwana, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi!"

Mwana akalamba, "Nkisi ya nsumbu, oyo wana makanda matatu!" Nkisi ya nsumbu akeli, "Ee, mwana, nkisi ya nsumbu wana makanda matatu, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi!" Mwana asili kala, "Makanda matatu, oyo mabaya!" Nkisi ya nsumbu akeli, "Tala, mwana, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana!"

Mwana akalamba, "Mwana, oyo mwana!" Nkisi ya nsumbu akeli, "Tala, mwana, mwana mayo mwana, mayo nkisi ya nsumbu!" Mwana asili kala, "Nkisi ya nsumbu, oyo nkisi ya nsumbu!" Nkisi ya nsumbu akeli, "Nkisi ya nsumbu, mwana, nkisi ya nsumbu, wana makanda matatu, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana!"

Mwana akalamba, "Kasi, nkisi ya nsumbu, wapi?" Nkisi ya nsumbu akeli, "Kuna nsumbu, mwana, kuna nsumbu, kuna makanda matatu, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana!" Mwana asili kala, "Makanda matatu, oyo mabaya!" Nkisi ya nsumbu akeli, "Tala, mwana, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana, mayo kasi!"

Mwana akalamba, "Nkisi ya nsumbu, oyo wana makanda matatu!" Nkisi ya nsumbu akeli, "Ee, mwana, nkisi ya nsumbu wana makanda matatu, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana, mayo kasi!" Mwana asili kala, "Makanda matatu, oyo mabaya!" Nkisi ya nsumbu akeli, "Tala, mwana, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana, mayo kasi, mayo nsumbu!"

Mwana akalamba, "Nsumbu, oyo nsumbu!" Nkisi ya nsumbu akeli, "Tala, mwana, nsumbu mayo nsumbu, mayo nkisi ya nsumbu!" Mwana asili kala, "Nkisi ya nsumbu, oyo nkisi ya nsumbu!" Nkisi ya nsumbu akeli, "Nkisi ya nsumbu, mwana, nkisi ya nsumbu, wana makanda matatu, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana, mayo kasi, mayo nsumbu!"

Mwana akalamba, "Kasi, nkisi ya nsumbu, wapi?" Nkisi ya nsumbu akeli, "Kuna nsumbu, mwana, kuna nsumbu, kuna makanda matatu, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana, mayo kasi, mayo nsumbu!" Mwana asili kala, "Makanda matatu, oyo mabaya!" Nkisi ya nsumbu akeli, "Tala, mwana, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana, mayo kasi, mayo nsumbu, mayo nkisi ya nsumbu!"

Mwana akalamba, "Nkisi ya nsumbu, oyo wana makanda matatu!" Nkisi ya nsumbu akeli, "Ee, mwana, nkisi ya nsumbu wana makanda matatu, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana, mayo kasi, mayo nsumbu, mayo nkisi ya nsumbu!" Mwana asili kala, "Makanda matatu, oyo mabaya!" Nkisi ya nsumbu akeli, "Tala, mwana, makanda matatu mayo mabaya, mayo makasi, mayo mabaya, mayo nkisi, mayo mwana, mayo kasi, mayo nsumbu, mayo nkisi ya nsumbu, mayo mwana wa nganda!"

